English,Danish
"If we are to get a common transport market genuinely up and running, it is important that we should not only have regulations but that these regulations should also, as far as possible, apply to every country.","Hvis vi skal få et fælles transportmarked til at fungere godt, er det vigtigt, at vi ikke bare har regler, men også at disse regler så vidt muligt er fælles regler."
"I should like to conclude by commenting on a third matter which is also of significance, namely an amendment tabled by Member of Parliament, Mr Ari Vatanen.","Til sidst vil jeg gerne kommentere en tredje sag, som også er vigtig, nemlig et ændringsforslag fremsat af parlamentsmedlem Ari Vatanen."
"In many ways, the prerequisites differ from one Member State to another.",Forudsætningerne er forskellige fra medlemsland til medlemsland.
"By approving this amendment, we take account of the fact that it can be very cold in the northern parts of the European Union.","Ved at godkende dette ændringsforslag tager vi højde for, at det kan være meget koldt i de nordlige dele af Unionen."
This makes it necessary to also take account of the ways in which materials and packaging are affected by cold of this kind.,"Dette medfører, at det er nødvendigt også at tage hensyn til, hvordan materiale og emballage påvirkes af kulden."
"It is good that, in establishing the present regulations, we can also be flexible.","Hr. formand, det er positivt, at vi i forbindelse med denne ordning også kan være fleksible."
I hope that the Commission is able to accept the present amendment.,"Jeg håber, at Kommissionen kan acceptere denne ændring."
"Mr President, I would like to thank not only Mr Koch, but also the Vice-President of the Commission for the clear and unambiguous way in which they have declared their support for safety in the transport sector and acknowledged it as a priority.","Hr. formand, jeg vil ikke kun takke hr. Koch, men også næstformanden for Kommissionen for, at de begge har bekendt sig så klart og tydeligt til sikkerheden på transportområdet og til prioriteringen af sikkerheden."
The reason Mr Koch produced his sound report was because the work in the CEN and within the United Nations Economic Commission was proceeding none too expeditiously.,"Hr. Koch har udarbejdet en udmærket betænkning, fordi arbejdet i CEN og også inden for rammerne af FN's Økonomiske Kommission ikke er blevet udført så hurtigt."
"I would like to ask the Vice-President if she is in a position to tell us today what the state of play is with regard to the efforts towards harmonisation being made by these two organisations, and whether the EU is in a position to hasten these harmonisation efforts, in accordance with principles that are as simple as possible.","Jeg vil gerne spørge næstformanden, om hun kan sige os i dag, hvordan det står til med hensyn til de to organisationers harmoniseringsbestræbelser, og om EU har mulighed for at fremskynde harmoniseringsbestræbelserne efter så enkle principper som muligt."
"For one thing is clear: even if we come to an excellent arrangement within the European Union, traffic does not stop at our borders, it goes beyond them.","For følgende står klart: Selvom vi fastsætter usædvanlige bestemmelser inden for Den Europæiske Union, stopper trafikken ikke ved disse grænser, den overskrider dem."
Hence there is certainly every reason to introduce more far-reaching regional provisions.,"Derfor er vidtgående, det vil sige regionalt vidtgående bestemmelser helt sikkert meningsfulde."
If the Commissioner is unable to do so today then would she be prepared to inform the committee in writing of how matters stand and what stage negotiations between the CEN and the Economic Commission are at?,"Hvis kommissæren ikke kan gøre det i dag, er hun så rede til at sende oplysningerne om situationen og forhandlingerne mellem CEN og Den Økonomiske Kommission til udvalget skriftligt?"
"Mr President, I would once again like to congratulate Mr Koch on his magnificent work on this other report, which in a way supplements the debate which we held in October on rail transport.","Hr. formand, jeg lykønsker igen hr. Koch med hans arbejde med denne anden betænkning, som på en måde supplerer den forhandling, vi havde i oktober om jernbanetransport."
"We all regret that the European Committee for Standardisation (CEN) has not been able, in the required time, to carry out the amendment of the provisions necessary for the required harmonisation within the European Union.","Vi beklager alle, at Den Europæiske Standardiseringsorganisation (CEN) ikke har været i stand til inden for den fastsatte tid at gennemføre den ændring af bestemmelser, der er nødvendig for en passende harmonisering inden for Den Europæiske Union."
This debate and the amendment of the directive currently in force allow us to incorporate differentiating elements which demonstrate the diversity of this Europe of ours.,"Denne forhandling og ændringen af det gældende direktiv giver os mulighed for at inddrage forskellige forhold, som er et udtryk for Europas mangfoldighed."
"A moment ago, Mr Vatanen spoke to us of lower temperatures, not of 20 degrees below zero, but of 40 degrees below zero.","For et øjeblik siden fortalte hr. Vatanen os om temperaturer på under ikke -20ºC, men -40ºC."
"Of course, we accept that amendment - it is absolutely right - and I believe that we should incorporate specific circumstances which demonstrate the climatic diversity of the European Union, which sometimes take the form of specifics and of concrete requirements for the establishment of standards and characterisations of a technical nature.","Naturligvis accepterer vi det ændringsforslag, det er helt berettiget, og jeg mener, at det er nødvendigt at inddrage konkrete forhold, der er et udtryk for den klimatiske variation i Den Europæiske Union, og som af og til giver sig udslag i konkrete specifikationer og krav, når der skal tages stilling til standardisering eller karakterisering af teknisk art."
"I would like to say, with regard to Mr Swoboda' s comments on the activity of the CEN, that we are urging them to speed up their work as much as possible because it would be terrible if, despite the new deadline, we were to find ourselves after a year and a bit with the same difficulties because their work has not been concluded.","I forbindelse med hr. Swobodas kommentarer hvad angår aktiviteterne i CEN, vil jeg sige, at vi presser på, for at de fremskynder deres arbejde mest muligt, for det ville være katastrofalt, hvis vi, på trods af den nye frist, om lidt over et år stod over for de samme problemer, fordi arbejdet ikke var afsluttet."
"Lastly, Mr President, the basic problems justifying this amendment of the directive have been pointed out.","Endelig, hr. formand, er der allerede blevet nævnt grundlæggende problemer, der retfærdiggør denne ændring af direktivet."
"We have referred to the delay by the CEN, the amendment of certain provisions, the consistency between the text of the directive and the content of the annexes and the need to for it to be more specific.","Vi har talt om forsinkelsen i CEN, ændringen af nogle bestemmelser, sammenhængen mellem direktivets tekst og indholdet af bilagene, behovet for større præcision."
"The Commission accepts all of the contributions of the parliamentary committee and the rapporteur, Mr Koch, which are contained in the various amendments, specifically four.","Alle bidragene fra det parlamentariske udvalg og fra ordføreren, hr. Koch, som er kommet til udtryk i forskellige ændringsforslag, nærmere betegnet fire, er blevet godkendt af Kommissionen."
We therefore accept the four amendments which have been proposed.,"Vi accepterer altså de fire ændringsforslag, som er blevet fremsat."
The debate is closed.,Forhandlingen er afsluttet.
The vote will take place tomorrow at 12 p.m.,Afstemningen finder sted i morgen kl. 12.00.
Structural Funds - Cohesion Fund coordination,Samordning strukturfondene/Samhørighedsfonden
"The next item is the report (A5-0108/1999) by Mrs Schroedter, on behalf of the Committee on Regional Policy, Transport and Tourism, on the communication from the Commission in the field of the Structural Funds and their coordination with the Cohesion Fund: guidelines for programmes in the period 2000-2006 [COM(1999)344 - C5-0122/1999 - 1999/2127(COS)].","Næste punkt på dagsordenen er betænkning (A5-0108/1999) af Schroedter for Udvalget om Regionalpolitik, Transport og Turisme om meddelelse fra Kommissionen om strukturfondene og deres samordning med Samhørighedsfonden - Retningslinjer for programmer for perioden 2000-2006 (KOM(1999)344 - C5-0122/1999 - 1999/2127(COS))."
"Mr President, it is particularly pleasing for me to make my first speech in the European Parliament on what is regarded as the most important issue within that part of the United Kingdom that I represent in this Parliament, namely Wales.",") Hr. formand, det er en særlig glæde for mig at holde min første tale i Europa-Parlamentet om noget, der betragtes som det væsentligste spørgsmål inden for den del af Det Forenede Kongerige, som jeg repræsenterer her i Parlamentet, nemlig Wales."
"A major part of Wales, as you know, has been granted Objective 1 status under the Structural Funds programme.","En stor del af Wales har, som mange ved, opnået status som mål 1-område under programmet om strukturfondene."
It is quite clear that many people within Wales are looking to the European Structural Funds programme to alleviate some of the great difficulties that we undoubtedly face.,"Det er helt klart, at mange i Wales forventer, at det europæiske strukturfondsprogram vil afhjælpe nogle af de problemer, som vi utvivlsomt vil møde."
We have seen poverty growing in Wales; and growing still further since 1997.,"Der er stigende fattigdom i Wales, endnu mere end i 1997."
We have seen the gap between rich and poor widen.,Afgrunden mellem rige og fattige vokser.
"We are looking, therefore, within the Structural Funds programme not just to see industrial restructuring but also to see a wider improvement in the whole of the economic base within the Principality.","Derfor håber vi med strukturfondsprogrammet ikke blot at opnå en industriel omstrukturering, men også en mere overordnet forbedring af hele det økonomiske fundament inden for det pågældende område."
"What is, however, deeply damaging for us is the belief that in some way the granting of Structural Funds assistance is something that has been, in a sense, a success of the government.","Det, der er meget skadeligt for os, er opfattelsen af, at støttten fra strukturfondene skyldes regeringens succes."
It is sadly only a recognition of the very great difficulties that Wales faces.,"Det er desværre en sørgelig erkendelse af de store vanskeligheder, som Wales oplever."
That is why I want to highlight some of the issues that I believe the Commission must have at the forefront.,"Derfor ønsker jeg at fremhæve nogle af de spørgsmål, som jeg mener, at Kommissionen skal fokusere mest på."
We look to the Commission to deal with points in relation to additionality.,"Vi forventer, at Kommissionen tager sig af spørgsmål i forbindelse med additionsprincippet."
We are dissatisfied with the fact that those figures seem to have been in some way hidden within UK figures.,"Vi er utilfredse med, at tallene på en eller anden måde har været skjult i tallene for Det Forenede Kongerige."
We look to the Commission also to ensure that there is matched funding for projects.,"Vi forventer endvidere, at Kommissionen også sikrer, at der er ""matched funding"" til projekterne."
"We look to it to challenge the UK Government, to ensure that the private sector, which surely must be providing the major impetus for Structural Funds expenditure, is involved in the planning stage.","Vi håber, at Kommissionen vil udfordre den britiske regering for at sikre, at den private sektor, der helt sikkert må være den største aftager af strukturfondsudgifter, inddrages på planlægningsstadiet."
"Finally, we ask that the Commission ensures that Structural Fund monies are spent in a way which is transparent.","Endelig anmoder vi om, at Kommissionen sikrer, at pengene fra strukturfondene anvendes på en gennemsigtig måde."
Too much of what takes place within this Parliament is not transparent.,"Alt for meget af det, der foregår i Parlamentet, er uigennemsigtigt."
This is one area in which I believe the Commission can be a very great friend to Wales.,"På dette område tror jeg, at Kommissionen kan være en rigtig god ven for Wales."
"Mr President, our committee views these issues very differently and, to start, I will speak from the point of view of research.","Hr. formand, vores udvalg behandler disse sager ud fra mange forskellige aspekter, og først taler jeg om aspektet forskning."
"We see it as a very positive sign that, in her own conclusions, the rapporteur has taken account of our committee' s proposal that the Cohesion Fund countries should broaden the research infrastructure by locating universities and colleges in such a way that they would serve those who live in undeveloped regions better than now and make it easier for educated people to remain in their home districts.","Vi mener, at det er meget positivt, at ordføreren har taget forslaget fra vores udvalg om, at forskningsinfrastrukturen udbygges navnlig i samhørighedslande, ved at højskoler og læreanstalter placeres, således at de i højere grad kan komme indbyggerne i de mindre udviklede regioner til gode og gøre det lettere for veluddannede at blive boende på deres hjemegn, med i sine egne konklusioner."
"This will be possible with action on the part of governments, and such decentralisation of higher education will be an unquestionably useful policy in evening out development.","Dette er muligt gennem offentlige foranstaltninger, og den type decentralisering af de højere uddannelser er uden tvivl gavnlig politik for at opnå en mere ligelig udvikling."
"Another matter we would like to address, specifically from the point of view of industrial policy, is that we would have liked the Commission to pay more attention to the effects of services, electronic commerce and the growing use of the Internet, when they were planning the coordination of Structural Funds and Cohesion Funds.","Et andet aspekt, som vi gerne vil påpege navnlig ud fra industripolitiske synspunkter, er, at vi gerne ville have haft, at Kommissionen ved planlægningen af samordning af strukturfonden og Samhørighedsfonden tager mere hensyn til påvirkninger fra vækst i anvendelsen af tjenester, elektronisk handel og Internet."
Poverty and wealth used to depend more on means of livelihood.,Tidligere var fattigdom og rigdom i højere grad afhængig af erhvervsstrukturer.
"The rich areas were those where there were jobs in industry, but today those areas might have become a burden, and they may well be poor, meaning we also have to invest in new sectors of industry such as electronic production, as I might call it, and the production of services, because they are the industries of the future.","De regioner, hvor der var arbejdspladser i industrien, var rige, men i dag er disse regioner måske blevet til en belastning og er eventuelt fattige, så der også skal investeres i nye erhvervsområder, såkaldt elektronisk produktion og serviceproduktion, for de er fremtidens erhvervsområder."
"In my opinion the committee drafting the report has not taken sufficient account of this, so on behalf of the Committee on Industry, External Trade, Research and Energy, I would draw the Commission' s attention to this issue.","Dette har udvalget, som udarbejdede betænkningen, efter min mening ikke taget tilstrækkeligt højde for i sin egen betænkning, så på vegne af Udvalget om Industripolitik, Eksterne Økonomiske Forbindelser, Forskning og Energi påpeger jeg dette for Kommissionen."
"Finally, as the committee representing energy, we would have liked the issue of support for renewable energy resources from Cohesion and Regional Development funds to have been emphasised still more, thus, through a process of coordination, increasing the use of renewables so that the scant funding resources in the energy programme might have been compensated by means of these more substantial sums.","Til sidst havde vi som energiudvalg et ønske om, at støtten til vedvarende energikilder fra midlerne i Samhørighedsfonden og fonden til regionaludvikling var mere fremhævet, og at de den vej ved samordning kan øge anvendelsen af vedvarende energiformer, således at disse rigelige midler kan kompensere for energiprogrammernes utilstrækkelige finansieringsressourcer."
"Mr President, I would very much like to thank Mrs Schroedter for the work she has done on this and to explain to colleagues that I am speaking for my colleague, Mrs Flautre, who followed this for the Committee on Employment and Social Affairs but who is unfortunately ill.","Hr. formand, jeg vil gerne takke fru Schroedter for hendes arbejde i forbindelse med betænkningen og forklare kollegerne, at jeg taler på vegne af min kollega, fru Flautre, som har fulgt dette for Udvalget om Beskæftigelse og Sociale Anliggender, men som desværre er syg."
"I would like to draw people's attention to Amendments Nos 1 and 2 which were agreed by the Committee on Employment and Social Affairs but not accepted by the Committee on Regional Policy, Transport and Tourism.","Jeg vil gerne henlede opmærksomheden på ændringsforslag 1 og 2, som blev godkendt af Udvalget om Beskæftigelse og Sociale Anliggender, men ikke af Udvalget om Regionalpolitik, Transport og Turisme."
These amendments deal with the social economy and the need to provide social risk capital and support financially local schemes to develop employment opportunities and strengthen social cohesion.,Disse ændringsforslag omhandler socialøkonomi og behovet for at yde social risikokapital og støtte lokale ordninger økonomisk for at udvikle beskæftigelsesmuligheder og styrke social samhørighed.
"In the past, this Parliament has viewed the social economy as an important potential provider of employment.",Parlamentet har tidligere opfattet socialøkonomien som en vigtig potentiel faktor til øget beskæftigelse.
These amendments also fit in with this Parliament's view that social exclusion is a serious issue needing constructive action.,"Ændringsforslagene afspejler også Parlamentets opfattelse af, at social udstødelse er et alvorligt spørgsmål, der bør behandles konstruktivt."
We hope that those considering rejection of these amendments have very powerful reasons to offer to both Parliament and their citizens who are seeking employment.,"Vi håber, at de personer, der overvejer at forkaste ændringsforslagene, har meget tungtvejende grunde, som de kan forklare Parlamentet og de borgere, som søger beskæftigelse."
"In her report, Mrs Flautre also drew attention to an area where coordination is sorely lacking, yet desperately needed.","Fru Flautre henledte i sin betænkning også opmærksomheden på et område, hvor der er katastrofal mangel på - og kolossalt behov for - samordning."
The Commission proposals refer to the four pillars of employment strategy and the five fields of action of the European Social Fund.,Kommissionens forslag henviser til de fire beskæftigelsessøjler og de fire aktionsområder for Den Europæiske Socialfond.
"But the lack of specific guidelines here is particularly to be regretted, as the idea of linking Social Fund assistance to the employment strategy will be put into effect for the first time during the 2000-2006 programme.","Men mangelen på specifikke retningslinjer er særlig beklagelig, da idéen om at kæde støtte fra Den Europæiske Socialfond sammen med beskæftigelsesstrategien vil få virkning for første gang i programmet for 2000-2006."
"It could be said that the omission gives the impression that the Commission too has no idea how to provide maximum coordination between European Social Fund assistance, which is subject to review after three and a half years, and the Member States' annual national plans for employment.","Man kan sige, at mangelen på retningslinjer giver det indtryk, at Kommissionen heller ikke har nogen idé om, hvordan man opnår maksimal samordning mellem støtten fra Den Europæiske Socialfond, der skal gennemgås efter 3 1/2 år, og medlemsstaternes årlige nationale planer for beskæftigelse."
We hope that the Commission can reassure us that this was an oversight which is now being dealt with constructively.,"Vi håber, at Kommissionen kan forsikre os om, at der er tale om en forglemmelse, som nu tages op på en konstruktiv måde."
"Mr President, Commissioner, the proposal presented by the Commission, in accordance with its mandate, is a reasonable starting point for the Committee on Agriculture and Rural Development.","Hr. formand, hr. kommissær, mine damer og herrer, det forslag, som Kommissionen under udøvelse af sit mandat har forelagt, er et fornuftigt udgangspunkt for Udvalget om Landbrug og Udvikling af Landdistrikter."
"I would like to point out, however, that this starting point indicates to us the challenges which face us: maintaining a population in rural areas, given the changes taking place in all types of economic activity owing to agriculture' s increasing lack of importance amongst the various sources of income for rural society.","Men jeg vil gerne her fremhæve, at dette udgangspunkt gør os opmærksomme på de udfordringer, som vi står over for: at fastholde befolkningen i landområderne under de igangværende forandringer i de forskellige erhverv, fordi landbrugets betydning som indtægtskilde i landbrugssamfundet konstant mindskes."
"This, as well as the deficiencies in the networks of infrastructures and services and a generally very low level of employment, which furthermore is seasonal and lacks diversity, exacerbates the exodus from rural areas.",Dette i forening med de mangelfulde infrastrukturer og serviceydelser samt meget begrænsede og i bedste fald sæsonbestemte og lidet varierede beskæftigelsesmuligheder forstærker afvandringen i landområderne.
The consequences do not inspire hope.,Følgerne lader ikke vente på sig.
"It is the young people who are disappearing, who are getting an education and finding work outside of the rural areas, all of which has an unfavourable effect on those areas.","Det er de unge, der forsvinder, de får uddannelser og finder arbejde uden for landområderne, hvilket har en ugunstig indvirkning på disse områder."
This lack of infrastructure is also an obstacle to the establishment of companies and the creation of jobs.,"Denne mangel på infrastrukturer er også en hindring for, at virksomheder etablerer sig, og at der kan opstå nye arbejdspladser."
We have to remember that rural areas represent almost four fifths of the territory of the European Union.,"Det bør ikke glemmes, at landbrugsområderne udgør næsten 4/5 af Den Europæiske Unions område."
Agriculture only provides 5.5% of employment in the Union.,"Landbruget tegner sig kun for 5,5% af beskæftigelsen i EU."
"Furthermore, three quarters of our farm workers are part-time and require supplements to their incomes.","Hertil kommer, at tre fjerdedele af landmændene er deltidsbeskæftigede og har behov for solide supplerende indtægter."
"For this reason, one of the most important and essential objectives which we should set in the European Union is to make efforts to create new jobs in rural areas, outside of the agricultural sector, in sectors such as rural tourism, sport, culture, heritage conservation, the conversion of businesses, new technologies, services, etc.","Et af de vigtigste og mest betydningsfulde mål, som vi skulle sættes os i Den Europæiske Union, er derfor at gøre en indsats for at oprette nye arbejdspladser i landområderne, som ikke er af landbrugsmæssig art, på områder som turisme i landbrugsområder, sport, kultur, genoprettelse af kulturarv, etablering, omdannelse af virksomheder, nye teknologier, tjenesteydelser osv."
"However, even though the role of agriculture is not exclusive, it is still essential, not only to prevent economic and social disintegration and the creation of ghost towns, but also because farmers play a fundamental role in managing the land, in preserving biodiversity and in protecting the environment.","Selvom landbruget ikke længere er hovedaktiviteten, er erhvervet fortsat af væsentlig betydning, ikke kun når det gælder om at hindre en økonomisk og social opløsning i landbrugsområderne og opståen af nye spøgelsesbyer, men fordi landmændene spiller en vigtig rolle for forvaltningen af territoriet, opretholdelsen af biodiversiteten og beskyttelsen af miljøet."
"Therefore, we support the establishment of an agricultural and rural development policy which is consistent with the objectives we have set. We want rural areas, at the dawn of the 21st century, to be competitive and multi-functional, both with regard to agriculture and with regard to opening up to the diversity of non-agricultural activities.","Derfor gå vi ind for en landbrugspolitik og en politik til udvikling af landdistrikterne, der hænger sammen med de mål, som vi har angivet, og vi går ind for, at landdistrikterne i begyndelsen af det 21. århundrede bør være konkurrencedygtige og alsidige i landbrugsmæssig forstand og samtidig give plads til forskellige andre aktiviteter."
"It is important to prioritise general criteria for land planning and demographic equilibrium, and to bear in mind the conclusions of the Committee on Agriculture and Rural Development on the five fundamental issues, which have been only partly taken up by the Committee on Transport, Regional Policy and Tourism in its points 16 and 17.","Det er væsentligt at prioritere overordnede kriterier for den fysiske planlægning og for befolkningsbalancen og at tage hensyn til de konklusioner, som Udvalget om Landbrug og Udvikling af Landdistrikter er nået frem til på fem centrale områder, som kun delvist er blevet inddraget af Udvalget om Regionalpolitik, Transport og Turisme i punkt 16 og 17."
"In conclusion, I would ask the Commission to take these five points into account when establishing the conclusions on the four pillars because I believe that, for the European Union, maintaining the population in rural areas must be one of the priority objectives.","Jeg vil slutte af med at bede Kommissionen om at tage disse fem punkter i betragtning, når konklusionerne om de fire søjler skal fastlægges, for jeg mener, at fastholdelsen af befolkningen i landdistrikterne bør være et af Den Europæiske Unions prioriterede mål."
"Mr President, Commissioner, I would like to begin by thanking Mrs Schroedter, the rapporteur, for her work.","Hr. formand, hr. kommissær, kære kolleger, jeg vil indlede mit indlæg med at takke for det arbejde, som fru Schroedter, ordføreren, har udført."
I think that this work has been carried out extremely well.,"Jeg synes, at det er et meget veludført arbejde."
I would also like to thank her for her willingness to enter into dialogue with the other political groups when compromise formulas have needed to be reached in the face of this avalanche of amendments - and perhaps there are more of them than we expected - but which genuinely reflect the importance of the report we are now discussing.,"Og desuden vil jeg også takke hende for hendes vilje til dialog med resten af de politiske grupper, når der skulle findes kompromisformuleringer i forbindelse med strømmen af ændringsforslag, måske flere end forventet, men de afspejler i virkeligheden betydningen af den betænkning, vi behandler."
"We feel that it is important that the Commission takes account of the conclusions adopted by this Parliament, at least in spirit, because at this stage, it might seem as though what we are doing here is a useless exercise, and nothing but hot air.","For os er det vigtigt, at Kommissionen tager hensyn til de konklusioner, der vedtages i Parlamentet, som minimum ånden i dem, for på dette niveau kunne det synes, som om vi her udfører et nyttesløst arbejde, ren retorik."
"The truth of the matter though is that we believe - and this is also shown in the way the conclusions have been drafted - that the Commission must take account of what is adopted by this Parliament, particularly in the face of an interim revision of these directives.","Men sandheden er, at vi mener, og det afspejles også i indholdet af konklusionerne, at Kommissionen skal tage hensyn til det, der vedtages i Parlamentet, hovedsagelig med henblik på midtvejsrevisionen af disse retningslinjer."
"In our amendments, we have stated the importance of the necessary synergies being produced between the Structural Funds, the Cohesion Fund and Community initiatives, so that their application should be reflected, in the best and most profitable way, by the gradual elimination of disparities between regions and by the creation of jobs which are, when all is said and done, the two central purposes of the funds we are discussing.","I vores ændringsforslag har vi givet udtryk for den betydning, det har for os, at der skabes den nødvendige synergi mellem strukturfondene, Samhørighedsfonden og EF-initiativerne, således at de anvendes optimalt, med størst muligt udbytte, i forbindelse med den fremadskridende nedbrydning af uligheder mellem regioner og skabelsen af arbejdspladser, som, når alt kommer til alt, er de to vigtigste mål med de fonde, vi taler om."
"In order to achieve a more rapid and efficient boost for attaining these objectives, we think that those who generate employment, the real entrepreneurs and those who really guarantee new sources of employment, that is, businesspeople, must participate in this initiative.","Og for at opnå en hurtigere og mere effektiv fremdrift i forfølgelsen af disse mål, mener vi, at det er nødvendigt, at de, der skaber arbejdspladser, de driftige og de, der i virkeligheden skaffer de nye kilder til beskæftigelse, nemlig iværksætterne, inddrages i dette initiativ."
"Small and medium-sized businesses, above all, need to take part in the distribution of these funds.",Især de små og mellemstore virksomheder skal inddrages i fordelingen af disse midler.
"If they do not, if businesspeople feel marginalised, if entrepreneurs cannot take part, not only in managing but also in receiving these funds, we will have missed an opportunity to attain our objectives more rapidly.","Hvis det ikke bliver sådan, hvis iværksætterne føler sig udenfor, hvis iværksætterne ikke inddrages, ikke kun i forvaltningen, men også i modtagelsen af disse midler, vil vi være gået glip af en mulighed for at nå vores mål hurtigere."
"Also, in order to attain our objectives, to overcome the disparities between regions and to seek out sources of employment, it is crucial to give our complete support to new technologies, to transport and communications networks and to renewable energies.","Det er også, for at vi kan nå vores mål, for at vi kan overvinde ulighederne mellem regionerne og finde kilder til beskæftigelse, vigtigt at satse stærkt på ny teknologi, transport- og kommunikationsnet og vedvarende energi."
"All of this must be done - I repeat - with the participation of private business, which, by uniting its efforts with those of public administrations, but complementing them, never obstructing or excluding them, will lead to the creation of wealth in society and of jobs.","Og alt det - vel at mærke - med inddragelse af den private virksomhed, som ved en indsats i fællesskab med de offentlige myndigheder, hvor de supplerer hinanden og aldrig forhindrer eller udelukker hinanden, er den, der skaber velstand i samfundet og nye arbejdspladser."
"Mr President, it is incumbent upon me to remind my colleague, Mr Evans, of why Wales actually achieved Objective 1 status.","Hr. formand, det er min pligt at minde min kollega, hr. Evans, om, hvorfor Wales faktisk har opnået status som mål 1-område."
It was because of the discredited policies of his own Conservative Party.,Årsagen er hans eget konservative partis tvivlsomme politik.
"Let me also remind him that when his party leader, Mr Hague, was Secretary of State for Wales, he broke every rule in the book on additionality which led to a stern letter from Commissioner Wulf-Mathies regarding regulatory requirements.","Lad mig også minde ham om, at hans partileder, hr. Hague, overtrådte samtlige regler om additionsprincippet, da han var minister for Wales, og at dette gav anledning til et alvorligt brev fra kommissionær Wulf-Mathies vedrørende krav til regulering."
I can tell you that the British Government is aware of its regulatory requirements on Objective 1 additionality.,"Jeg kan fortælle, at den britiske regering er opmærksom på kravene om regulering i forbindelse med additionsprincippet og mål 1."
I suggest Mr Evans goes back and reads the regulation.,"Jeg vil foreslå, at hr. Evans læser bestemmelserne."
My Group has made extensive amendments to both reports up for debate today.,Min gruppe har udarbejdet omfattende ændringsforslag til begge betænkninger til forhandling i dag.
I want to focus our minds on the essential role of the guidelines.,Jeg vil gerne fokusere på væsentligheden af retningslinjerne.
"The objective is to provide a framework and tool to support and enhance economic regeneration, to get the most effective use of resources in the widest partnership and to put these regions back on the road to recovery and sustainable development so that eventually they come off the regional life-support machine.","Målet er at etablere rammer og værktøj til støtte og forbedring af økonomisk reaktivering, at få den mest effektive udnyttelse af ressourcer inden for det bredest mulige partnerskab og at hjælpe disse regioner på fode igen, så de kan kobles fra den regionale respirator."
It is important to identify the skills and potential of our regions in the hi-tech sector.,Det er vigtigt at identificere kvalifikationer og potentiale for vores regioner i den højteknologiske sektor.
It is particularly important in the light of reports in the media that Europe is rapidly losing ground to the US in the hi-tech growth industries of the future.,"Det er særlig vigtigt i lyset af rapporterne i medierne om, at Europa er ved at tabe terræn til USA inden for fremtidens højteknologiske industrier."
The operation of the previous round of programmes is also very instructive in telling us what guidelines should not be about.,"Erfaringer med tidligere programmer kan også vise os, hvordan retningslinjerne ikke skal være."
They should not be about creating additional layers of bureaucracy and red tape.,De skal ikke skabe yderligere bureaukrati.
"They should not be about shifting priorities and policies halfway through project development, resulting in inevitable delays and underspends, particularly in the light of the new budgetary requirement.","De skal ikke medføre ændring af prioriteter og politikker halvvejs gennem projektet med resulterende forsinkelser og underforbrug, især i lyset af det nye budgetkrav."
"The implementation and operation of the guidelines cannot be left to the personal interpretation of one or other desk officer, either in the Commission or in the civil service.","Gennemførelsen af retningslinjerne kan ikke overlades til personlig fortolkning af tilfældige medarbejdere, hverken i Kommissionen eller i den offentlige tjeneste."
"There must be an internal coherence in the Commission directorate, while respecting the specific local and regional aspects of Commission programmes.",Der skal være intern sammenhæng i Kommissionens generaldirektorater med behørig hensyntagen til Kommissionens programmers specifikke lokale og regionale aspekter.
"The conclusion is that we must make the case for guidelines to be broad, indicative and flexible to assist our programme managers and fund-users and to get the maximum potential out of our new fields of regeneration.","Konklusionen må være, at vi skal gøre en indsats for, at retningslinjerne er vidtrækkende, vejledende og fleksible for at støtte vores programledere og brugere og få maksimalt udbytte af vores nye reaktiveringsområder."
"If we can inject a spirit of entrepreneurial activity into our poor and structurally weak regions we will eventually get them back onto the road of attracting substantial investor confidence, which will be the key to future success.","Hvis vi kan skabe en ånd af foretagsomhed i vores fattige og struktursvage regioner, kan vi efterhånden få genskabt et miljø, der tiltrækker store investorer, og det er nøglen til fremtidig succes."
"This is how we are going to judge the success of these guidelines: whether EU regional policy with a good, solid, enabling guideline, can open up new opportunities and allow our poor and structurally weak regions to play their full part in contributing to the growth and prosperity of the EU.",Sådan vil vi måle retningslinjernes succes: Om EU's regionalpolitik med gode og præcise retningslinjer kan skabe nye muligheder og gøre det muligt for fattige og struktursvage regioner at bidrage til vækst og velstand i EU.
"Mr President, Commissioner, I would like to thank Mrs Schroedter for an excellent report.","Hr. formand, kære medlem af Kommissionen, kære kolleger, jeg takker fru Schroedter for en god betænkning."
She has gone into the issue in some depth and in the committee debate she took account of many of the amendments that have been tabled regarding this report.,"Hun har sat sig godt ind i sagen og taget meget godt hensyn til de talrige ændringer, der er foretaget i betænkningen under udvalgsbehandlingen."
The rapporteur has also quite rightly stated that Parliament was not heard in time regarding the guidelines.,"Ordføreren har også helt rigtigt konstateret, at Parlamentet ikke er blevet hørt i tide med hensyn til retningslinjer."
We are badly behind now in this matter.,Nu er man kommet meget bagud i sagen.
"Hopefully, the stands Parliament has taken will help, however, in the mid-term appraisal of the programmes and in their practical implementation.",Forhåbentlig kan Parlamentets holdninger imidlertid stadig være til hjælp ved midtvejsevalueringen af programmerne og ved den praktiske gennemførelse.
"For the time, the report grew too large when it was being debated.",Med hensyn til tidspunktet er betænkningen under behandlingen blevet for omfattende.
It contained details and issues that had already been raised in previous reports.,"Der er indsamlet detaljer og også sådanne aspekter, som allerede har været fremlagt ved tidligere betænkninger."
