Danish,English
"Lübeck profiterede af en kort, men betydningsfuld periode under dansk overherredømme og protektion fra 1201 til 1225.","During a short but significant period of Danish dominance and protection from 1201 to 1225, Lübeck prospered."
"Gennem seks ugers testsejlads vil alle dele af skibet blive grundigt gennemprøvet i de barske farvande, det oprindelige skib blev bygget til at besejle.",During a six-week period the ship will be thoroughly tested in the waters the original ship was built to conquer.
Under sejlads,During a voyage
"Ved en arkæologisk udgravning i 1986 fandt man en hemmelig gang, samt et hus fra vikingetid eller middelalder, men kun meget lidt blev undersøgt.","During archaeological excavations in 1986 a secret corridor was found together with a house from Viking times or the Middle Ages, but only a small part of this was investigated."
"Ved opstillingen af skibet stod rekonstruktørerne af skibet derfor, forståeligt nok, overfor nogle problemer, som de valgte at løse radikalt.","During assembly the reconstructors were understandably faced with problems, to which they applied radical solutions."
I løbet af fredagen blev mast og rå placeret.,During Friday the mast and yard was placed on to the ship aswell.
"Han nåede inden sin død som 95-årig at bygge ca. 365 klinkbyggede både af egetræ i størrelser fra 4 m til 9 m. Jollen blev brugt til småfiskeri og fuglejagt hvortil den var ideel, fordi den med sit stiksværd trukket op kunne komme helt ind på ""vandstøvledybde"".","During his 95-year lifetime he produced some 365 clinkerbuilt boats of oak, ranging in length from 4 to 9 m. The dinghy was used for small-scale fishing and for hunting birds, a purpose for which it was ideally suited because with its daggerboard lifted it could float in extremely shallow water."
"Det var i hans regeringstid, at vikingerne igen fik interesse for England og dermed også London.",During his reign the Vikings once more showed an interest in England - and London.
"Det var i hans regeringstid, at vikingerne igen fik interesse for England og dermed også London.",During his reign the Vikings once more showed an interest in England – and London.
I sin regeringstid opførte Vilhelm borgen Tower of London i byens vestlige udkant.,During his reign William founded the Tower of London on the western outskirts of London.
Otte erfarne fritidssejlere med tilknytning til Vikingeskibsmuseet i Roskilde begiver sig i juli og august ud på en rejse i nordboernes kølvand langs den grønlandske syd- og vestkyst.,"During July and August, eight experienced sailors connected with the Viking Ship Museum will undertake a journey in the wake of the Norsemen along the southern and western coast of Greenland."
"Under opstillingen blev nogle biter afkortet eller samlet af dele, som passede sammen.",During reassembly some biti were cut or were put together from parts that seemed to fit together.
"Under opbygningen opstod der derfor vanskeligheder med at få de øverste bordgange, hvor skibet er bredest, til at nå frem til spunningen.","During reconstruction, they therefore experienced difficulties with the upper strakes - where the ship is broadest - which could not reach the rabbet."
"Det var langskibe som Skuldelev 2, der i 1000-tallet gjorde det muligt for de danske konger at få fodfæste i England og Irland og som - i et kort tidsrum - med deres overlegne styrke, bandt Danmark, Norge, Sydsverige og England sammen i Knud den Stores Nordsø-imperium.","During the 1000’s, it was longships like Skuldelev 2 that made it possible for the Danish kings to gain a foothold in England and Ireland and allowed them – in a very short space of time – to use their superior strength to unite Denmark, Norway, Southern Sweden and England as Canute the Great’s North Sea empire."
Men i løbet af 1100-årene etablerede tyske købmænd deres egne handelsforbindelser i Østersøområdet.,"During the 12th century, German merchants established trade relations of their own in the Baltic Sea area."
I løbet af 1100-tallet brød vikingebander ind i det forhistoriske gravkammer og graverede 30 indskrifter på væggene.,"During the 12th century, Viking groups broke into this prehistoric tomb and carved 30 inscriptions into the walls."
I løbet af 1900-tallet blev færøbåden videreudviklet til maskinbåde og kaproningsbåde.,"During the 20th century, the Faroe boats were developed further as motorboats and for rowing races."
"I løbet af 970'erne beretter Inishfallen-annalerne, at Limericks vikingekonger boede på Scattery Island.",During the 970s the Annals of Inishfallen record that Norse kings of Limerick were resident at Scattery Island.
Sidst på eftermiddagen brød solen igennem skyerne og vi satte sejl i den milde vind.,During the afternoon the sun broke through the clouds and we set sail in the mild wind.
"Ved ombygningen blev de oprindelige åreanlæg fjernet, og åretallet reduceret.","During the alteration, the original rowlocks were removed and the number of oars reduced."
Under byggeriet finder bådebyggerne nogle særlige og ukendte øksespor på en bite.,During the building process the boatbuilder found some unusual and unidentifiable axe marks on a biti.
"Under byggeriet undersøgte bådebyggerne, hvor mange ressourcer i form af træ, tjære, jern, uld og hamp, der lev brugt til langskibet.","During the building process the boatbuilders examined how many resources such as wood, tar, iron, wool and hemp were used for the longship."
"Med de sejladsmæssige udfordringer vi har budt skibet indtil nu, ser det ud til at det har fået en god og acceptabel fleksibilitet, fordelt jævnt gennem hele skibet.","During the challenges the ship has been through so far, it looks like we have attained a good and acceptable level of flexibility, evenly spread out down through the ship."
"Alt efter, hvornår du besøger museet, kan du komme i krigertræning, blive klogere på bådebygning, møde smeden eller være med til at udvinde tjære sammen med museets dygtige håndværkere og formidlere.","During the craftmanstalk, a skilled craftsman tells you about a piece of craftsmanship, and you get an insight into the craftsman's knowledge and a feel of the cultural heritage and complex knowledge that is the basis of the craft."
"Under craftmanstalk fortæller dagens dygtige håndværker om et stykke håndværk, og du får mulighed for at få et indblik i håndværkerens viden samt få en fornemmelse af den kulturarv og komplekse viden der ligger til grund for de enkelte håndværk.","During the craftmanstalk, a skilled craftsman tells you about a piece of craftsmanship, and you get an insight into the craftsman's knowledge and a feel of the cultural heritage and complex knowledge that is the basis of the craft."
"Under craftmanstalk fortæller enten reblæggeren eller træskæren med udgangspunkt i et stykke håndværk fortælle om om et stykke håndværk, og du får mulighed for at få et indblik i håndværkerens viden samt få en fornemmelse af den kulturarv og komplekse viden der ligger til grund for de enkelte håndværk.","During the craftmanstalk, the ropemaker or the woodcarver will tell you about a piece of craftsmanship, and you get an insight into the craftsman's knowledge and a feel of the cultural heritage and complex knowledge that is the basis of the craft."
Om dagen er de fleste på frivagten vågne i starten af en længere sejlads.,"During the day, most of those off duty are awake at the start of a longer stint."
"Men vi planlægger at gå i land undervejs, så der bliver mulighed for at nyde den medbragte mad eller aftenkaffe.","During the evening, the boat will go ashore and allow participants to enjoy food and refreshments brought along."
Under optagningen og transporten var alt træværket blevet holdt vådt og vel understøttet.,"During the excavation and transport to the museum, all the boat's timbers had been kept moist and well-supported."
Da man udgravede mindst ni skibe i Roskildes Havn i 1997 fandt man en runepind.,"During the excavation of nine ships in Roskilde Harbour in 1997, a rune stick was found."
"Under udgravningen blev alle skibsdele opmålt og dokumenteret, før de blev flyttet og opmagasineret i 2 år.","During the excavation, all ship parts were measured and documented before they were removed and placed in storage for 2 years."
"På togtet til Norge i 2006 lærte bådebyggerne således, at skibet gav sig meget, når det sejlede i hårdt vejr.","During the expedition to Norway in 2006 the boat builders learnt, for example, that the ship flexes in rough weather."
I løbet af de første par uger besøgte 70.000 - 80.000 Havhingsten i museumsgården.,"During the first couple of weeks 70,000 - 80,000 visitors came to see the Sea stallion at Collins Barrack."
I løbet af de første par uger besøgte 70.000 – 80.000 Havhingsten i museumsgården.,"During the first couple of weeks 70,000 – 80,000 visitors came to see the Sea stallion at Collins Barrack."
I første weekend af juni afholdt Vikingeskibsmuseet i Roskilde en stor evakueringsøvelse for besætningen om bord på Havhingsten fra Glendalough.,During the first weekend of June the Viking Ship Museum in Roskilde held a evacuation drill for the crew members on board the Sea Stallion.
"Ved de indledende øvelser med træforarbejdning blev der lavet padler, skjolde og en tofte, og øksernes ægvinkel blev fastlagt.","During the introductory practical woodwork, paddles, shields and a thwart were made, and the tool angle for the axes was determined."
"Under dykkereftersøgningen fandtes endnu en planke, der kan stamme fra middelalderskibet, samt et kraftigt kølsvin fra et andet, yngre fartøj.","During the investigations by divers, another plank was found that may come from the medieval ship, as well as a heavy kelson from another, younger vessel."
Vikingeskibsmuseet har gennem de seneste 30 år bygget rekonstruktioner af alle de fem Skuldelevskibe.,"During the last 30 years, the Viking Ship Museum has built reconstructions of all five of the Skuldelev ships."
"I den sene vikingetid etableres et system af spærringer i Roskilde Fjord, der gør det muligt at kontrollere søvejen til en af Danmarks største konge- og kirkebyer.","During the late Viking Age, a system of barriers are established on Roskilde Fjord, making it possible to control the sea routes to one of Denmark's great royal and ecclesiastical cities."
I løbet af det næste århundrede blev London den vigtigste by i England.,During the next century London became the most powerful town in England.
"I løbet af de næste par måneder, vil bådebyggerne udskifte slidt tømmer og rustne jernnagler.","During the next months, the boatbuilders will replace several of the timbers, which are worn, and some of the iron nails which have rusted."
"Ved planlægningen blev følgende parametre prioriteret: autenticitet, seriøsitet, kvalitet og dokumentation, mens tidsfaktoren ikke blev fastlagt på forhånd.","During the planning phases, priority was given to the following parameters: authenticity, legitimacy, quality and documentation, while the amount of time, or time-factor, was not fixed in advance."
"Senere, Under Edward Bekenderen og Harold Godwinson, får London endnu større indflydelse, og under Vilhelm Erobreren opnår byen særlige kongelige privilegier.","During the reigns of Edward the Confessor and Harold Godwinson, London's significance became even greater, and while William the Conqueror was on the throne, the town acquired special, royal privileges."
"Under reparationen er bordgangen udskiftet med en ny planke, hvis eksisterende årehuller ikke passede til skibets tofter (robænke) og dermed oprindelige åreplacering.",During the repair the top strake was replaced with a new plank with oarports that did not fit the thwarts (rowing benches) and the original placement of the oars.
"En vantnål sprang, umiddelbart uprovokeret, under sejladsen.",During the sailing a shroud pin broke -apparently unprovoked.
"I samme periode skete der en hævning af de landområder, hvor isen allerede var smeltet.","During the same period, land areas from which the ice had already retreated gradually rose as the enormous weight of the ice was released."
Undervejs på Havhingstens Sejlads til Dublin fører Skipper en logbog.,During the Sea Stallion's voyage the Skipper will keep a logbook.
Undervejs på Havhingstens Sejlads til Dublin fører flere forskellige mennesker ombord en dagbog.,During the Sea Stallion's voyage to Dublin several people on board keep a diary.
I somrene 2005 til 2007 rekonstruerede og byggede Vikingeskibsmuseet tre både fra henholdsvis jernalder og vikingetid.,"During the sommers from 2005 to 2007, the Viking Ship Museum reconstructed and built three boats from the Iron Age and Viking Age."
"I sommeren 2016 gennemfører Skjoldungens bådelaug og Vikingeskibsmuseet, en forsøgsrejse i Nordboernes kølvand, 560 sømil langs den sydvestgrønlandske kyst fra Nanortalik til Nuuk.","During the summer of 2016 the Skjoldungen boatguild and the Viking Ship Museum complete a trial voyage in the wake of the Norse, 560 nautical miles along the southwest coast of Greenland from Nanortalik to Nuuk."
"I sommersæsonen (maj - september) kan din gruppe udfordre hinanden til en dyst i bl.a. at kaste med Thors hammer, lave firtræk, styrte stang og meget andet på plænen foran museet.",During the summer season (May-September) your group can compete against each other in Viking games on the lawn in front of the Ship Hall.
"I sommersæsonen udfordres børn og voksnes hænder, evner og sanser i skiftende værksteder, med fokus på vikingernes maritime håndværk.","During the summer season chrildren's and adults' hands, skills and senses are put to the test in different workshops, which focus on Viking Age maritime craftwork."
"Gennem hele sommeren sætter vi på skift fokus på de mange forskellige maritime håndværk, vikingernes liv og særlige vikinge-sysler.","During the summer, there are different theme weeks at the Viking Ship Museum, where we set focus on the fascinating craftwork of the Vikings."
"I løbet af sommeren er der forskellige temauger på Vikingeskibsmuseet, hvor vi sætter fokus på fascinerende vikingehåndværk.","During the summer, there are different theme weeks at the Viking Ship Museum, where we set focus on the fascinating craftwork of the Vikings."
"Gennem hele sommeren sætter vi på skift fokus på de mange forskellige maritime håndværk, vikingernes liv og særlige vikinge-sysler.","During the summer, there are various different weekly themes here at the Viking Ship Museum, where we focus on the fascinating craftwork of the Vikings."
"I løbet af sommeren er der forskellige temauger på Vikingeskibsmuseet, hvor vi sætter fokus på fascinerende vikingehåndværk.","During the summer, there will be weeks with special themes at the Viking Ship Museum, where we focus on the fascinating craftwork of the Vikings."
I somrene 2005 til 2007 rekonstruerede og byggede Vikingeskibsmuseet tre både fra henholdsvis jernalder og vikingetid.,"During the summers from 2005 to 2007, the Viking Ship Museum reconstructed and built three boats from the Iron Age and Viking Age."
"Under træningssejladsen i 2006 afprøvede Vikingeskibsmuseet tanken om at formidle Havhingstens sejlads elektronisk, mens den foregik.",During the test cruise in 2006 the Viking Ship Museum tried out the idea of electronically communicating the Sea Stallion’s endeavour as it happened.
"I de tre uger sommertogtet varer, skal den 55 mand store besætning deles om den sparsomme plads om bord på skibet.","During the three weeks of the summer voyage, the 55-strong crew will share the limited space available on board the ship."
Under prøvesejladserne i 2001 foretoges målinger af spændingen i spændtovet og af skrogets vridning under sejlads i smult vande uden bølger.,"During the trials in 2001, measurements were made of the tension in the stretched rope and the twisting of the hull under navigation in calm waters without waves."
Undervejs indfører forsøgslederen i forsøgsdagbogen særlige observationer af formodet betydning for resultatet.,"During the trials, the trial leader will note in the trial log any special circumstances which may affect our interpretation of the results."
"Besætningen skal i løbet af turen indsamle sejladsdata, der senere, i samarbejde med forskere, skal udfylde de huller, der er i vores viden om, hvor svært - eller let - det var at sejle langs den grønlandske kyst i et vikingeskib, der alene drives frem af årer og sejl.","During the trip, the crew will also collect sailing data, which will later be used in collaboration with researchers to fill in the gaps in our understanding of how difficult - or easy - it was to sail along the coast of Greenland in a Viking ship, propelled only by oars and sail."
"I løbet af de to dage kombinerer vi teori og praksis, så du måske bliver inspireret til at arbejde videre hjemme.","During the two days, we will combine theory and practice, so you can be inspired to continue working further at home."
I vikingetiden fejrede stormændene et veloverstået togt med en rigtig fest.,"During the Viking Age, chieftains celebrated a successful voyage with a big feast."
"Gotland var i vikingetiden forbindelsen mellem øst og vest og en af de største handelspladser, hvor varer blev handlet og omladet.","During the Viking Age, Gotland was the connection between east and west and one of the major trading centres, where goods were traded and transferred."
"Søfarten forbandt forskellige kulturer, formidlede vidt forskellige varer, og fremkaldte kulturelle forandringer på tværs af verden i vikingetiden.","During the Viking Age, seafaring connected different cultures, allowed the diffusion of widely varying trade goods, and ignited cultural changes across the globe."
"I vikingetiden og middelalderen var jern, som blev produceret i Danmark, for det meste udvundet af myremalm.","During the Viking Age, the majority of the iron in Scandinavia was produced from bog ore."
"Vikingeskibene blev i vikingetiden sænket på tværs af sejlrenden ind mod den vigtige handelsby Roskilde, som en spærring mod eventuelle indtrængende fjender.","During the Viking Age, the Skuldelev ships were scuttled across a sailing channel on the way to the important trading town at Roskilde, as a defence against seaborne enemies."
Undervejs på togtet vil Vikingeskibsmuseet være behjælpelig med pressemateriale og kontakt til skibet.,During the voyage the Viking Ship Museum will assist with press material and contact with the ship's crew.
"Under forsøgsrejsen skal hvert rum dokumentere de funktioner og arbejdsrutiner, der udvikles under håndtering af sejlet, rejsning og lægning af masten, roning og håndtering af årer samt kommunikation gennem skibet.","During the voyage, each room will document the various functions and procedures developed while handling the sail, raising and lowering the mast, handling the oars, rowing, and communicating along the length of the ship."
Under rejsen vurderes skibet som en fungerende helhed.,"During the voyage, the ship will be assessed as a functioning entity."
På vikingetidens togter var tørret og røget fisk og kød en fast del af kosten til søs.,"During the voyages of the Viking Age, dried and smoked fish and meat were a regular part of the diet at sea."
Under hele forløbet er det muligt at få svar på naturlige spørgsmål:,"During the week, you can get answers to questions:"
Gennem hele perioden med nordiske vikingekonger i York havde man ærkebisper i byen.,During the whole period of Nordic kings in York there were also archbishops here.
Kongens tilknytning til Ribe understreges igennem hele perioden af en række fund af mønter.,"During the whole period, the King's connection to Ribe is underlined by a series of finds of coins."
Under deres herredømme blev Dublin den vigtigste by i Irland og centrum for vikingernes udvidelsern og handel mod vest.,During their reign Dublin became the most important town in Ireland as well as a hub for the western Viking expansion and trade.
Under samme dramatiske omstændigheder mistede det store engelske linieskib St. George i øvrigt dets master og dets kæmpestore ror.,"During these same dramatic circumstances, the large British ship of the line, St. George, also lost its masts and its enormous rudder."
"Under disse togter sejler skibene kun under sejl og årer, bortset fra nogle få slæbestrækninger for motor.","During these voyages, the ships use only sail and oars, apart from a few stretches when they are towed under motor power."
"I løbet af de fire uger i juli 2006 tilbagelagde Havhingsten ca. 830 sømil over grund (1.540 km) og kom så vidt omkring som Læsø, Bassholmen i Bohuslän i Sverige, Oslo, Tønsberg, Kristiansand, Thyborøn og Løgstør.","During those four weeks of July 2006 the Sea Stallion went approximately 830 nautical miles (1,540 kilometres), travelling as widely as Læsø, Bassholmen in Bohuslän in Sweden, Oslo, Tønsberg, Kristiansand, Thyborøn and Løgstør."
"Hollandske og danske historiske kilder peger på en mulig identifikation af B&W 1 som værende vraget af den forlængede hollandske bojert De Jager, som er nævnt i auktionsprotokoller fra byen Edam.","Dutch and Danish historical sources point at a possible identification of B&W 1 as the wreck of a lengthened Dutch Bojer the De Jager, which appeared in auction books of the town of Edam."
Mail: ln@vikingeskibsmuseet.dk,E-mail: ln(at)vikingeskibsmuseet.dk
Billedarkivet kan kontaktes på e -mail: picturelibrary(a)vikingeskibsmuseet.dk,E-mail: picturelibrary(a)vikingeskibsmuseet.dk
E: kga(at)vikingeskibsmuseet.dk,E: as(at)vikingeskibsmuseet.dk
E: pwk(at)vikingeskibsmuseet.dk,E: nlk@vikingeskibsuseet.dk
E: lw(at)vikingeskibsmuseet.dk,E: sao(at)vikingeskibsmuseet.dk
"Hvert besætningsmedlem har mindre end 1 m2 til rådighed, og kan højst medbringe 80 liter personligt udstyr.",Each crew member has less than 1 m2 at his or her disposal and personal belongings must take up no more than 80 litres.
Hver dag vil en stolt høvding fremvise sine våben og lære de unge krigere at kæmpe med sværd og skjold.,"Each day, a proud chieftain will demonstrate his weapons and teach the young warriors to fight with sword and shield."
"Tre af tårnene er fremstillet som vikinger, der er gået besærk.","Each figure has a dour expression on its face, with staring eyes and strong features."
"Det enkelte skibsfund fortæller sin unikke historie, mens summen af dem alle fortæller samfundshistorie.","Each find of a ship tells its own unique story, but the sum of these stories tells the history of society."
"Hver bundstok (den nederste del af spantet) ligger an på en klampe, der er hugget ud i kølen.",Each floor timber (the lowest part of the frame) lies in a clamp which is cut out of the keel.
"Det er også dit laug, der søger for at båden passes og plejes, sættes i stand om foråret, bliver sat i vandet og om efteråret taget op igen og sat på land.","Each guild is responsible for maintaining their boat, getting it prepared for sailing each spring, launching the boat and taking it up and setting it on land again each autumn."
Hver enkelt skibsdel blev skåret ud i pap og samlet i en model i skala 1:10.,Each individual ship's part was then cut out of cardboard and assembled in a 1:10 scale model.
"Til hvert måltid går der 13 kg kød, grøntsager og ris, pasta eller korn.","Each meal requires 13 kg of meat, vegetables and rice, pasta or cereal."
På hver enkelt skabelon er der en streg og et tal fra 1 til 12.,Each mould is marked with a line and a number from 1 to 12.
Hvert af de ret små får gav ca. 500 gr brugbar uld.,Each one of these rather small sheep yielded about 500 g of usable wool.
Hver person har sin faste plads og tofte at sidde på.,Each person has his or her regular seat and thwart to sit on.
"Hver brik repræsenterer en menneskelig figur bortset fra bønderne, der er udformet som simple obelisker.","Each piece represents a human figure, except for the pawns, which are shaped as simple obolisks."
Hver planke blev omhyggeligt scannet og målt.,Each plank was carefully scanned and measured.
Hvert reb tager ca 125 cm af sejlets højde.,Each reef takes about 125 cm off the height of the sail.
Hvert rum har to rum-formænd – igen en til hver vagt”.,Each room has a chairman – again one for each shift”.
Hvert rum har to formænd (en til hver vagt).,Each room has to foremen (one for each watch).
"Hvert rum har en formand, som sikrer at gasterne i rummet udfører deres arbejdsopgaver, overholder deres vagter og melder tilbage til skipper.","Each section has a foreman, who makes sure that the crew in their section carry out their duties, keep their watches and report back to the skipper."
"Hvert rum har en formand, som sikrer, at gasterne i rummet udfører deres arbejdsopgaver, overholder deres vagter og melder tilbage til skipper.","Each section has a leader, who makes sure the crew carry out their tasks, observe their watches and report to the skipper."
"Hvert rum, med 10 - 12 gaster, deler to frokostkasser med rugbrød, smør og pålæg, der kan holde sig i lang tid, såsom makrel i tomat, tun og røget spegepølse.","Each section of 10-12 men shares two lunch boxes with rye bread, butter and meat/fish of good keeping quality, such as tinned tuna, tinned mackerel in tomato sauce and smoked salami."
"Hvert rum, med 10 – 12 gaster, deler to frokostkasser med rugbrød, smør og pålæg, der kan holde sig i lang tid, såsom makrel i tomat, tun og røget spegepølse.","Each section of 10-12 men shares two lunch boxes with rye bread, butter and meat/fish of good keeping quality, such as tinned tuna, tinned mackerel in tomato sauce and smoked salami."
"Hver gang fibrene i stykket hugges over, forringes styrken.","Each time a cut is made across one of the fibres, the timber becomes weaker."
I alle weekender og dagligt fra den 27. juni tager en af museets dygtige bådebyggere en pause fra byggeriet og giver en særlig rundvisning på værftspladsen.,Each weekend - and every day from the 27th June - one of the Museum's skilled boatbuilders will take a break from the construction and give a special tour of the boatyard.
"Jarl Vilhelm kom fra hinsides havet med stort følge af franskmænd og kongen modtog ham og så mange af hans ledsagere, som det syntes ham vel, og lod ham rejse igen.",Earl William came from beyond the sea with a great company of Frenchmen and the King received him and as many of his companions as he thought appropriate and then he let him depart again.
"Tidligere uddybninger udfor de undersøgte kajer har været så kraftig, at der sandsynligvis heller ikke midt i havnebassinet forekommer intakte kulturlag fra Middelalder og Renæssance.",Earlier dredging opposite the examined quays has been so intensive that there are probably no intact culture layers from the Medieval period or the Renaissance.
Tidligere i sommer kløvede vi en fyrretræsstamme til bådens bordplanker.,"Earlier in the summer, we had cleaved a pine log to make planks for the boat."
Tidlig fredag morgen blev skibet løftet over bygningerne og ind i den ca 700 kvadratmeter store gård.,"Early Friday morning the ship was lifted again, this time over the buildings and into the 700 square metre big square in the middle."
Middelalderbåd bygges på bådeværftet - Fakta:,Early medieval boat reconstruction at the boatyard: info
Tidlig neste morgen gikk kongen og Torberg ut til skipet igjen.,"Early next morning the king returns again to the ship, and Thorberg with him."
Tidlig torsdag morgen ankom Havhingsten til Berlin West Hafen.,"Early on Thursday morning, Sea Stallion arrived to Berlin's West Hafen."
Tager let 10 personer.,Easily carries 10 people.
Påskeferie på Vikingeskibsmuseet 2018,Easter at the Viking Ship Museum 2018
Foredrag: Den sejlende kulturarv,Easter workshop - build your own king!
Spis frokost i strandkanten,Eat lunch by the water's edge
Spis frokost i strandkanten,Eat lunch by the water’s edge
Redigeret af Anton Englert & Athena Trakadas.,Edited by Anton Englert & Athena Trakadas.
"Formidling er en vigtig del af projektet og der er enorm interesse for skibet, hver gang Havhingsten lægger til.",Education is central to the project and there is enormous interest in the ship everywhere the Sea Stallion comes.
Det specielle er at de lokale både har meget gamle træk i byggemåden.,"Edvard has three such beams, two afore the hold, which is known as the ""bunki"", and one aft."
Edvards og hans gruppe er ikke de eneste der har taget fat i værktøjet i Gislingeprojektets kølvand.,Edvards and his group are not the only ones who've taken up tools in the wake of the Gislinge Project.
Edvards og hans gruppe er ikke de eneste der har taget fat i værktøjet i Gislingeprojektets kølvand.,Edvards and his group are not the only ones who’ve taken up tools in the wake of the Gislinge Project.
Edward Bekenderen og Harold Godwinson,Edward the Confessor and Harold Godwinson
Edward Bekenderen af England,Edward the Confessor of England
"Edward var gift med Edith fra den magtfulde Godwin slægt, men de fik ingen børn, og den engelske trone blev derfor givet til Ediths bror Harold Godwinson, da Edward døde i 1066.",Edward was married to Edith from the powerful Godwin family but they had no children and the English throne passed to Edith's brother Harold Godwinson when Edward died in AD 1066.
Edward var meget religiøs og grundlagde blandt andet det store kloster ved Westminster: Westminster Abbey.,Edward was very religious and founded among others the great monastery at Westminster: Westminster Abbey.
"Edwards mange år i Normandiet kom til at præge hans styre, og han blev kendt for at tale mere fransk end engelsk, for at omgive sig mest med franske rådgivere, og for at bruge normanniske tropper i England.","Edward's many years in France had a great influence on his rule and he was known for speaking more French than English, for surrounding himself with French advisors and for using Norman troops in England."
Betegnelsen kvase bliver brugt om en båd med indbygget dam.,Eel drifters belong to the boat class known as wet well smacks: a boat with an inbuilt wet well.
"Åledrivkvaserne var omkring 26-28 fod (ca. 8,5m) lange.",Eel drifters were approximately 26-28 feet (ca. 8.5m) long.
De fangede ålene med et drivvod (et net).,Eel were caught using drift seine nets.
Drivkvasen er udviklet til fiskeri med ålevod.,Eel-drifters were developed for fishing with eel-seine nets.
"Fra Danmark kendes otte og fra Sverige sytten, men fra Norge ingen, ud over et fra middelalderen.","Eight are known from Denmark and seventeen from Sweden, while Norway only has one example from the medieval period."
"Otte bajonetlignende spyd og tre spydspidser af helt særlige dimensioner, der formentlig har været lederinsignier, har vel også hørt til denne gruppe.","Eight bayonet-like spears and three spearheads of particularly large dimensions, which were presumably symbols of military authority, would also have belonged to this group."
"Eiríkr døde i kamp ved Hedeby, og måske var det ham, som styrede hans og hans kampfællers skib til handelspladsen ved Slien.",Eiríkr died in battle at Hedeby and perhaps it was he who steered his and his comrades-in-arms' ship to the trading-place on the Schlei.
"Eiríkr døde i kamp ved Hedeby, og måske var det ham, som styrede hans og hans kampfællers skib til handelspladsen ved Slien.",Eiríkr died in battle at Hedeby and perhaps it was he who steered his and his comrades-in-arms’ ship to the trading-place on the Schlei.
El-arbejde: Bøttcher:Fog,Electrical work: Bøttcher:FOG
Elektronisk udstyr,Electronics
"Else Roesdahl, Professor, Aarhus Universitet, forhistorisk arkæologi","Else Roesdahl, Professor of Medieval Archaeology, Aarhus University"
"Else Roesdahl, Professor, Aarhus Universitet, Middelalderarkæologi","Else Roesdahl, Professor of Medieval Archaeology, Aarhus University"
"Andetsteds på disse sider kan du læse om, hvordan det originale Skuldelev 2-skib muligvis endte i Roskilde efter en…",Elsewhere on these pages you can read about how the original Skuldelev 2 ship ended in Roskilde possibly after a di…
E-mail*,Email*
Kom med på togt i vikingernes verden!,Embark on a special family tour
Kom med på krigstogt og handelsrejser i vikingernes verden,Embark on special guided family tours every day throughout the summer.
Særlige familieomvisninger hver dag i hele sommeren,Embark on special guided family tours every day throughout the summer.
Edvard,Embla
Embla er rigget med et trapezformet råsejl med lavt trykcenter som man brugte det til de store transportbåde op til 1870'erne.,"Embla is rigged with a trapezoidal sail with a low centre of pressure, a sail type that was used for large transport vessels up until the 1870s."
"Embla er bygget i 1992 af foreningen Embla - kvindeskibet ro for fred, og bruges som symbol på deres politiske visioner: at fremme fred og international forståelse gennem regionalt og internationalt arbejde.","Embla was built in 1992 by the Association ""Embla - the women's ship row for peace"", and is used as a symbol of their political visions: to promote peace and international understanding through regional and international initiatives."
"Embla er bygget i 1992 af foreningen Embla – kvindeskibet ro for fred, og bruges som symbol på deres politiske visioner: at fremme fred og international forståelse gennem regionalt og internationalt arbejde.","Embla was built in 1992 by the Association ""Embla – the women's ship row for peace"", and is used as a symbol of their political visions: to promote peace and international understanding through regional and international initiatives."
"Beredskabsstyrelsen, Hjemmeværnet og Midt- og Vestsjællands Politi havde sammen med Vikingeskibsmuseets personale sikret Vikingeskibshallen ude- og indefra.","Emergency Management Agency , the Homeguard and the Police had together with the Viking Ship Museum staff ensured the Viking Shipp Hall both inside and outside."
Ansatte på bådeværft og skibsrekonstruktion,Employees at department of Maritime Crafts and Reconstruction
Emporierne voksede frem som opsamlings- og fordelingspladser for skibenes store laster.,Emporia developed as gathering and distribution centres for the great cargos carried by ships.
"Undervejs noteres altid i logbogen, hvis der sejles ”højeste gang” (bidevind), dvs. når der ikke sejles efter fast kurs eller mærke på land men med henblik på at holde højde.","En route, it will be noted in the logbook whenever the ship sails close hauled (full and by), i.e. when not following a set course or landmark but keeping as close to the wind as possible."
"Under forsøgsrejsen udsættes besætningen for indtryk, livsvilkår og arbejdsforhold, der i store træk svarer til vikingetidens.","En route, the crew will be exposed to impressions and living and working conditions very similar to those experienced in Viking times."
Undervejs blev der foretaget forskellige testsejladser.,"En route, various sailing trials were carried out."
Motor: Volvo Penta MD17 - 36 HK,Engine: Volvo Penta MD17 - 36 Hp
England som forbillede,England as an example
"Englert, Anton & Athena Trakadas (red.) 2009: Wulfstan’s Voyage.","Englert, Anton & Athena Trakadas (eds) 2009: Wulfstan’s Voyage."
"Engelske, skotske og irske byer","English, Scottish and Irish towns"
"Oplev livlige Kerry slides, vild Donegal violin, og drivende jigs og reels.","Enjoy lively Kerry slides, wild Donegal violin, and driving jigs and reels."
ophidsede holdt vi kampene,enraged we fought
Tilmelding sker via museets booking.,Enrolment is through the Museum Booking Service.
Indtast din mailadresse og vælg ”Afmeld”.,"Enter your e-mail address and select ""Unsubscribe”."
Initiativrige borgere med overskudskapital.,Enterprising citizens with surplus capital.
Entre voksne 120 kr.,Entrance adults: 120 kr.
Entré,Entrance fee
